Courier_id,Addr,Arrival_time,Departure,Amount,Order_id
D0027,A056,0,0,0,
D0027,B8773,7,30,-35,F4589
D0027,B6995,36,63,-54,F5214
D0027,B6351,74,99,-43,F4576
D0027,B5260,214,228,-8,F6644
D0028,A119,0,0,0,
D0028,B7664,5,21,-14,F8908
D0028,B3988,31,41,-3,F8878
D0028,B5579,48,59,-4,F8889
D0028,B4767,69,86,-15,F8885
D0028,B5032,106,132,-50,F7122
D0028,B6350,183,209,-50,F8668
D0028,B3870,276,287,-4,F6080
D0029,A022,0,0,0,
D0029,B9187,12,41,-68,F1767
D0029,B1893,51,68,-14,F7697
D0029,B7629,69,95,-52,F7749
D0029,B4532,235,248,-6,F2588
D0030,A074,0,0,0,
D0030,B7659,2,13,-4,F5934
D0030,B7155,14,37,-38,F5929
D0030,B0622,50,83,-87,F5139
D0030,B7387,278,293,-11,F7502
D0031,A078,0,0,0,
D0031,B7026,7,24,-16,F6153
D0031,B1576,28,43,-12,F6144
D0031,B6599,51,70,-23,F6152
D0031,B2200,73,93,-24,F3941
D0031,B4566,94,119,-43,F3953
D0031,B8557,175,194,-21,F0819
D0032,A037,0,0,0,
D0032,B5501,6,23,-17,F3424
D0032,B4295,30,54,-39,F3403
D0032,B7407,57,75,-18,F3454
D0032,B7344,85,104,-21,F1657
D0032,B1933,109,131,-31,F1580
D0032,B3108,138,151,-7,F1595
D0032,B6565,193,202,-2,F2919
D0032,B0245,212,222,-3,F2873
D0032,B7525,230,239,-2,F2923
D0033,A089,0,0,0,
D0033,B7548,4,29,-44,F6778
D0033,B4738,33,57,-41,F6757
D0033,B7340,61,87,-51,F6774
D0033,B4086,211,221,-3,F2778
D0034,A067,0,0,0,
D0034,B0969,9,40,-74,F5399
D0034,B4288,43,70,-55,F5439
D0034,B6632,83,96,-7,F3960
D0034,B6701,108,119,-4,F3961
D0035,A025,0,0,0,
D0035,B0536,14,38,-40,F1995
D0035,B7628,45,75,-68,F3013
D0035,B8543,81,101,-23,F3018
D0035,B7239,127,141,-9,F5874
D0036,A089,0,0,0,
D0036,B6305,5,29,-40,F6765
D0036,B0504,31,61,-70,F6717
D0036,B3049,115,136,-30,F2174
D0037,A117,0,0,0,
D0037,B8736,7,25,-19,F8823
D0037,B4015,36,63,-52,F8767
D0037,B3763,72,96,-39,F8765
D0037,B1351,107,118,-4,F8729
D0037,B4152,124,138,-9,F8772
D0037,B7872,151,164,-7,F1874
D0037,B1328,187,200,-8,F1788
D0038,A104,0,0,0,
D0038,B7781,2,31,-63,F7789
D0038,B7433,33,62,-68,F7787
D0038,B1271,100,114,-9,F7209
D0039,A068,0,0,0,
D0039,B1485,3,32,-65,F5516
D0039,B3653,42,68,-51,F5534
D0039,B4999,77,92,-11,F7240
D0039,B6220,96,108,-6,F7250
D0039,B1463,228,240,-5,F2725
D0039,B7035,281,290,-2,F2836
D0040,A101,0,0,0,
D0040,B2384,3,33,-71,F7573
D0040,B4202,35,59,-38,F7580
D0040,B3998,61,79,-19,F7577
D0040,B1283,82,97,-11,F3876
D0041,A108,0,0,0,
D0041,B8295,23,37,-9,F8101
D0041,B3173,54,63,-2,F8050
D0041,B0340,69,90,-28,F8016
D0041,B4362,101,117,-12,F6086
D0041,B8719,128,139,-4,F6138
D0041,B0433,152,177,-41,F6050
D0041,B1797,187,199,-5,F6064
D0041,B3890,211,222,-4,F6081
D0041,B8397,277,292,-12,F2665
D0041,B5924,328,344,-13,F2916
D0041,B1109,349,362,-7,F2880
D0041,B2557,374,382,-1,F2893
D0041,B5738,429,438,-2,F2613
D0042,A060,0,0,0,
D0042,B9070,7,25,-18,F4836
D0042,B0981,32,48,-13,F4754
D0042,B7432,60,84,-41,F4815
D0042,B1346,86,102,-14,F4757
D0042,B5947,107,126,-22,F4804
D0042,B1808,128,149,-28,F4763
D0042,B8261,172,183,-3,F2928
D0043,A059,0,0,0,
D0043,B6871,6,28,-32,F4731
D0043,B7507,33,52,-21,F4737
D0043,B4167,57,89,-81,F4714
D0043,B5547,248,261,-6,F6106
D0044,A064,0,0,0,
D0044,B0873,1,28,-54,F5122
D0044,B3612,30,62,-79,F5125
D0044,B1293,167,180,-7,F0417
D0045,A058,0,0,0,
D0045,B8618,3,23,-26,F4689
D0045,B9121,29,61,-77,F4692
D0045,B2331,67,87,-25,F8472
D0045,B1677,210,225,-12,F3515
D0046,A023,0,0,0,
D0046,B8156,6,26,-25,F1879
D0046,B4194,35,67,-76,F4659
D0046,B2395,69,87,-17,F1804
D0046,B8449,89,105,-12,F1885
D0046,B4707,126,140,-10,F1838
D0047,A039,0,0,0,
D0047,B6070,4,31,-55,F3685
D0047,B4418,34,56,-32,F3676
D0047,B5030,62,80,-19,F8491
D0047,B7232,98,116,-19,F3448
D0047,B0093,137,153,-14,F1563
D0048,A014,0,0,0,
D0048,B3821,5,27,-32,F0866
D0048,B1944,32,59,-55,F0863
D0048,B6577,65,91,-47,F7190
D0048,B9034,153,165,-6,F1890
D0049,A088,0,0,0,
D0049,B0533,3,32,-65,F6686
D0049,B7450,49,78,-65,F6776
D0049,B4741,212,227,-10,F6641
D0050,A023,0,0,0,
D0050,B5132,4,24,-26,F1845
D0050,B4710,32,45,-8,F3409
D0050,B1737,55,82,-50,F1796
D0050,B8276,83,102,-23,F1884
D0050,B0836,108,123,-10,F3344
D0050,B6934,172,191,-21,F1490
D0051,A087,0,0,0,
D0051,B3746,4,13,-2,F6631
D0051,B0140,24,35,-4,F7334
D0051,B5288,48,62,-8,F6645
D0051,B5922,69,84,-12,F6653
D0051,B3830,131,142,-4,F3561
D0051,B6702,152,178,-49,F3616
D0051,B8632,212,232,-25,F3645
D0051,B1504,239,253,-9,F3513
D0051,B2774,280,295,-10,F6618
D0051,B3990,316,331,-12,F7430
D0051,B4098,338,350,-5,F7433
D0052,A031,0,0,0,
D0052,B0010,2,24,-30,F2688
D0052,B5117,34,44,-3,F2802
D0052,B5395,55,66,-4,F2807
D0052,B6574,76,86,-3,F2829
D0052,B0332,106,117,-4,F2699
D0052,B3518,120,135,-12,F2766
D0052,B5748,205,223,-18,F8161
D0052,B4072,228,252,-39,F8146
D0052,B3375,279,289,-3,F2762
D0052,B7154,312,325,-7,F5739
D0052,B8023,332,342,-3,F5750
D0052,B5493,352,364,-5,F5717
D0052,B8028,374,385,-4,F5365
D0052,B3529,389,397,-1,F5296
D0052,B7311,409,417,-1,F5353
D0052,B0205,433,442,-2,F5238
D0052,B3834,485,493,-1,F5299
D0053,A021,0,0,0,
D0053,B2854,38,55,-14,F1593
D0053,B4843,58,81,-34,F1623
D0053,B1355,105,132,-51,F1790
D0053,B7241,144,166,-33,F1867
D0053,B5208,185,199,-8,F3583
D0054,A054,0,0,0,
D0054,B2142,4,34,-71,F4419
D0054,B1970,36,59,-35,F4418
D0054,B0707,132,155,-34,F2951
D0055,A088,0,0,0,
D0055,B3318,4,37,-87,F6695
D0055,B8565,40,65,-46,F6710
D0055,B5949,101,114,-6,F6023
D0056,A068,0,0,0,
D0056,B8430,7,24,-16,F5563
D0056,B6592,27,55,-58,F5555
D0056,B6471,59,81,-31,F4212
D0056,B6424,87,108,-26,F4209
D0056,B7751,263,276,-6,F5360
D0056,B9004,308,316,-1,F2869
D0056,B6897,349,357,-1,F5347
D0056,B8190,405,413,-1,F5371
D0057,A017,0,0,0,
D0057,B5878,20,36,-15,F1086
D0057,B5361,45,62,-16,F3209
D0057,B4190,70,90,-25,F3189
D0057,B5231,96,121,-42,F3205
D0057,B2096,139,157,-18,F1045
D0057,B6888,162,176,-9,F1090
D0057,B9048,187,195,-1,F3274
D0057,B7530,205,219,-10,F1097
D0057,B4806,297,308,-4,F6090
D0058,A109,0,0,0,
D0058,B5016,7,22,-13,F8154
D0058,B5409,27,45,-18,F8157
D0058,B6555,47,78,-75,F8172
D0058,B5332,81,93,-5,F8156
D0058,B3630,95,106,-4,F8142
D0058,B4436,175,186,-4,F2786
D0058,B7243,236,254,-18,F5741
D0058,B2820,279,289,-3,F2750
D0059,A072,0,0,0,
D0059,B6726,9,38,-63,F3001
D0059,B3126,45,76,-71,F5838
D0059,B8345,79,91,-6,F5884
D0060,A006,0,0,0,
D0060,B4397,9,28,-23,F0255
D0060,B0231,40,67,-53,F1771
D0060,B2368,80,95,-12,F9189
D0060,B5130,103,122,-20,F6565
D0060,B1358,124,135,-4,F6549
D0060,B5858,180,198,-19,F1853
D0060,B4712,225,238,-7,F3574
D0060,B7025,263,273,-2,F3619
D0061,A100,0,0,0,
D0061,B4404,15,30,-11,F3064
D0061,B4384,36,59,-36,F3063
D0061,B7663,70,93,-37,F7263
D0061,B3423,97,121,-41,F7229
D0061,B3409,128,139,-5,F7228
D0061,B8728,178,190,-6,F7942
D0061,B2762,237,246,-2,F7887
D0061,B8798,258,267,-2,F2865
D0062,A067,0,0,0,
D0062,B1917,11,33,-30,F5408
D0062,B6968,39,52,-7,F7840
D0062,B8147,59,79,-23,F7844
D0062,B0839,84,103,-21,F5396
D0062,B3031,105,128,-37,F5423
D0062,B7762,134,151,-15,F5490
D0062,B7738,169,182,-7,F5489
D0063,A078,0,0,0,
D0063,B3827,4,23,-23,F5785
D0063,B2578,26,45,-22,F6147
D0063,B1947,47,78,-74,F6145
D0063,B2291,91,106,-11,F8429
D0063,B8429,108,121,-7,F8448
D0063,B9092,137,147,-3,F3975
D0064,A116,0,0,0,
D0064,B8905,3,34,-75,F8709
D0064,B5097,36,57,-26,F8640
D0064,B0856,64,83,-22,F8571
D0064,B6049,88,104,-13,F8660
D0064,B6271,116,127,-4,F8078
D0065,A052,0,0,0,
D0065,B8242,4,31,-54,F4317
D0065,B1981,35,53,-17,F6805
D0065,B6162,59,88,-62,F6833
D0065,B5254,241,254,-7,F1447
D0066,A051,0,0,0,
D0066,B8710,12,28,-12,F0511
D0066,B0950,40,64,-39,F0414
D0066,B4476,68,85,-16,F0463
D0066,B3724,101,128,-56,F6192
D0066,B6380,145,163,-17,F5869
D0067,A056,0,0,0,
D0067,B6541,5,30,-42,F4581
D0067,B3289,39,64,-46,F5163
D0067,B6168,69,94,-45,F5201
D0067,B7533,97,110,-7,F5217
D0068,A082,0,0,0,
D0068,B4959,10,27,-18,F6352
D0068,B7635,32,56,-42,F6370
D0068,B1607,58,83,-48,F6319
D0068,B2211,95,110,-12,F2165
D0068,B7512,117,135,-19,F6369
D0069,A039,0,0,0,
D0069,B7567,1,15,-10,F3695
D0069,B1263,59,91,-79,F3352
D0069,B4623,92,119,-51,F3408
D0070,A068,0,0,0,
D0070,B7552,7,34,-56,F5558
D0070,B6711,41,68,-53,F5556
D0070,B5844,70,88,-18,F5546
D0070,B9180,200,216,-13,F5384
D0071,A079,0,0,0,
D0071,B2236,5,33,-60,F6175
D0071,B6344,36,61,-41,F6211
D0071,B7473,65,78,-8,F6221
D0071,B1941,81,97,-14,F6173
D0071,B1119,130,145,-12,F0415
D0071,B3609,161,172,-4,F4254
D0072,A041,0,0,0,
D0072,B7476,3,28,-45,F3788
D0072,B3687,31,64,-88,F3768
D0072,B7462,110,122,-7,F3009
D0073,A089,0,0,0,
D0073,B2161,7,36,-64,F6732
D0073,B6979,44,73,-62,F3093
D0073,B4099,125,142,-14,F6339
D0074,A053,0,0,0,
D0074,B0613,11,37,-50,F4326
D0074,B7378,43,58,-11,F0791
D0074,B8118,63,80,-15,F4398
D0074,B9199,84,103,-20,F0830
D0074,B8502,109,122,-8,F0817
D0074,B4931,129,149,-24,F0753
D0074,B3946,152,165,-7,F0739
D0074,B0559,348,359,-4,F5244
D0074,B6601,385,393,-1,F5343
D0075,A124,0,0,0,
D0075,B4759,3,19,-12,F9199
D0075,B3196,29,60,-75,F9193
D0075,B5565,65,85,-23,F0268
D0075,B6557,98,119,-30,F2098
D0076,A103,0,0,0,
D0076,B8453,10,27,-15,F7759
D0076,B6177,33,57,-39,F8250
D0076,B1330,60,87,-56,F8203
D0076,B3663,89,110,-27,F8227
D0076,B6323,213,223,-3,F5973
D0077,A085,0,0,0,
D0077,B1249,2,29,-55,F6492
D0077,B8361,31,61,-67,F6537
D0077,B8266,110,128,-18,F6586
D0078,A099,0,0,0,
D0078,B4492,19,29,-3,F7443
D0078,B0057,66,94,-57,F6589
D0078,B3723,101,123,-33,F6629
D0078,B4482,126,141,-11,F6637
D0078,B0861,144,155,-4,F7353
D0078,B0392,171,186,-12,F6592
D0078,B0019,220,237,-14,F7331
D0078,B6835,279,290,-5,F7489
D0079,A044,0,0,0,
D0079,B8519,6,21,-11,F3972
D0079,B2778,26,37,-4,F3943
D0079,B4743,46,74,-57,F5450
D0079,B4543,79,100,-31,F5448
D0079,B4312,104,120,-12,F5441
D0079,B8831,135,149,-9,F3974
D0079,B7362,153,163,-3,F3966
D0079,B8511,183,196,-8,F3971
D0079,B1694,217,227,-3,F8864
D0079,B7349,254,263,-2,F3965
D0080,A060,0,0,0,
D0080,B6999,6,23,-15,F4811
D0080,B1364,25,40,-10,F4758
D0080,B6307,47,79,-80,F4807
D0080,B8533,87,106,-22,F4832
D0080,B1227,116,131,-11,F0530
D0081,A062,0,0,0,
D0081,B0142,9,32,-37,F4985
D0081,B5316,34,54,-26,F4204
D0081,B7222,56,81,-43,F4215
D0081,B5562,88,108,-24,F5024
D0081,B8067,123,137,-9,F5046
D0082,A031,0,0,0,
D0082,B8161,40,54,-9,F2854
D0082,B9001,82,91,-2,F2868
D0082,B5465,102,119,-17,F2809
D0082,B8223,122,133,-3,F2855
D0082,B5408,150,159,-2,F2808
D0082,B1460,168,180,-6,F2724
D0082,B4618,196,208,-5,F2790
D0082,B3953,221,229,-1,F2772
D0082,B6208,248,259,-4,F2820
D0082,B1955,305,316,-4,F7873
D0082,B1350,328,340,-6,F7866
D0082,B4750,372,386,-9,F7905
D0082,B7401,419,437,-19,F7932
D0082,B7173,444,458,-9,F7926
D0082,B5529,621,644,-37,F0048
D0082,B6219,860,873,-7,F7479
D0083,A044,0,0,0,
D0083,B7014,19,41,-31,F3962
D0083,B0219,46,60,-8,F3931
D0083,B5992,65,75,-3,F8894
D0083,B2648,95,112,-16,F3942
D0083,B0517,230,258,-59,F4034
D0083,B7899,382,401,-22,F8096
D0084,A091,0,0,0,
D0084,B0342,7,34,-51,F6857
D0084,B8050,43,63,-25,F4529
D0084,B5131,67,92,-43,F4510
D0084,B8763,110,127,-16,F4537
D0084,B3690,209,221,-5,F8055
D0085,A059,0,0,0,
D0085,B2081,7,34,-57,F4704
D0085,B1636,41,70,-62,F0168
D0085,B5988,135,153,-19,F8394
D0086,A051,0,0,0,
D0086,B8832,22,33,-4,F0513
D0086,B4812,52,70,-19,F0468
D0086,B4147,74,107,-84,F0460
D0086,B0964,113,133,-24,F1123
D0086,B0341,157,171,-9,F7339
D0087,A116,0,0,0,
D0087,B0143,8,33,-45,F8561
D0087,B1172,42,72,-67,F8576
D0087,B0193,75,83,-1,F8563
D0087,B8495,86,106,-24,F8702
D0087,B6439,132,141,-2,F8079
D0088,A087,0,0,0,
D0088,B7360,11,22,-4,F6668
D0088,B5970,47,66,-22,F6655
D0088,B8508,98,118,-26,F6676
D0088,B8150,146,157,-5,F6672
D0088,B5831,169,186,-16,F6652
D0088,B1387,199,223,-38,F7365
D0088,B2950,240,252,-6,F7402
D0088,B4557,273,286,-7,F7445
D0088,B6459,300,311,-3,F7483
D0088,B0748,318,334,-12,F7349
D0089,A055,0,0,0,
D0089,B1635,12,32,-26,F4485
D0089,B5360,38,61,-37,F4514
D0089,B0741,67,91,-38,F4476
D0089,B2826,95,114,-23,F4494
D0089,B3388,119,136,-16,F3673
D0090,A117,0,0,0,
D0090,B3314,6,35,-60,F8758
D0090,B4823,45,59,-8,F8776
D0090,B0578,74,93,-23,F8718
D0090,B0061,103,122,-20,F8712
D0090,B3634,134,152,-19,F8762
D0090,B4377,169,182,-6,F3569
D0090,B5163,203,213,-3,F3581
D0091,A033,0,0,0,
D0091,B3844,7,41,-88,F2974
D0091,B6406,43,67,-40,F2997
D0091,B6273,73,89,-12,F4574
D0092,A014,0,0,0,
D0092,B0706,3,27,-43,F0858
D0092,B0102,32,65,-82,F4225
D0092,B8149,131,148,-15,F4530
D0093,A094,0,0,0,
D0093,B8549,3,28,-44,F7050
D0093,B4686,29,63,-93,F7025
D0093,B7080,192,202,-3,F1494
D0094,A097,0,0,0,
D0094,B0851,7,24,-16,F7206
D0094,B1135,33,49,-15,F7207
D0094,B7679,58,79,-29,F5559
D0094,B1824,85,110,-45,F5518
D0094,B5075,112,135,-33,F5541
D0094,B8717,235,244,-2,F2863
D0095,A102,0,0,0,
D0095,B0912,5,26,-28,F7608
D0095,B3892,30,63,-89,F0179
D0095,B2229,181,192,-4,F2543
D0095,B2743,228,245,-17,F2895
D0095,B6176,280,289,-2,F2622
D0096,A120,0,0,0,
D0096,B3910,11,24,-8,F8952
D0096,B4045,30,47,-16,F8953
D0096,B8731,57,67,-3,F8822
D0096,B5750,76,96,-26,F9145
D0096,B4762,112,127,-11,F2372
D0096,B1764,137,166,-68,F9100
D0096,B3204,174,188,-8,F9109
D0097,A040,0,0,0,
D0097,B2306,6,34,-55,F3713
D0097,B6055,37,68,-72,F9073
D0097,B3439,192,208,-13,F5430
D0098,A109,0,0,0,
D0098,B1570,4,23,-20,F8125
D0098,B2853,25,54,-66,F8136
D0098,B5507,59,78,-23,F8159
D0098,B0570,84,103,-22,F8118
D0098,B7845,106,120,-8,F8182
D0099,A010,0,0,0,
D0099,B8645,4,38,-90,F0646
D0099,B7665,43,69,-48,F9043
D0100,A056,0,0,0,
D0100,B4087,3,23,-24,F4561
D0100,B1180,27,52,-44,F2955
D0100,B8071,56,78,-32,F3017
D0100,B5962,86,108,-32,F2994
D0100,B5490,121,134,-7,F5860
D0101,A079,0,0,0,
D0101,B0643,11,31,-25,F6163
D0101,B8972,38,53,-10,F5890
D0101,B6056,58,82,-39,F5866
D0101,B5525,87,105,-18,F5861
D0101,B4757,132,154,-33,F9131
D0101,B8351,242,258,-13,F6674
D0101,B8675,273,282,-2,F6681
D0102,A029,0,0,0,
D0102,B1891,2,24,-35,F2444
D0102,B6789,28,49,-26,F2485
D0102,B8053,55,77,-34,F2497
D0102,B3454,82,105,-37,F4357
D0102,B4605,172,185,-8,F5315
D0103,A077,0,0,0,
D0103,B8673,56,72,-13,F5984
D0103,B5210,92,102,-3,F6096
D0103,B1383,108,120,-6,F6059
D0103,B2544,128,142,-9,F6070
D0103,B5301,157,167,-3,F6098
D0103,B7513,193,201,-1,F6126
D0103,B8416,250,262,-6,F2666
D0103,B2614,434,461,-54,F1374
D0103,B0283,511,532,-31,F8714
D0103,B2094,565,580,-12,F8741
D0104,A083,0,0,0,
D0104,B3067,9,27,-20,F6407
D0104,B6813,31,58,-53,F2292
D0104,B2803,60,86,-51,F2260
D0104,B8399,92,106,-9,F2307
D0104,B8463,173,186,-7,F0816
D0105,A068,0,0,0,
D0105,B2170,2,36,-96,F5522
D0105,B3813,45,66,-30,F4192
D0105,B6594,166,179,-8,F8173
D0105,B9151,245,255,-2,F5383
D0105,B3128,298,308,-2,F5291
D0105,B5693,328,336,-1,F5330
D0105,B1613,343,351,-1,F5265
D0106,A102,0,0,0,
D0106,B7371,11,33,-33,F7665
D0106,B7965,39,55,-14,F4741
D0106,B1645,58,76,-17,F4702
D0106,B4006,81,112,-73,F7634
D0106,B7550,232,242,-3,F2651
D0107,A041,0,0,0,
D0107,B6926,3,32,-61,F3786
D0107,B6591,33,62,-62,F3782
D0107,B8180,233,250,-16,F1528
D0107,B5362,260,268,-1,F1449
D0108,A104,0,0,0,
D0108,B5806,4,35,-75,F7782
D0108,B1846,37,63,-49,F7771
D0108,B2746,133,149,-13,F6182
D0108,B5454,270,280,-3,F6648
D0109,A044,0,0,0,
D0109,B4929,9,26,-18,F3954
D0109,B3410,32,48,-14,F3950
D0109,B2509,146,178,-84,F4279
D0109,B4083,181,189,-1,F4288
D0109,B5559,267,286,-22,F6149
D0110,A079,0,0,0,
D0110,B7363,4,28,-39,F6218
D0110,B3649,33,50,-15,F6190
D0110,B1631,55,79,-42,F6172
D0110,B1644,92,116,-37,F2162
D0110,B5033,137,150,-7,F0469
D0111,A073,0,0,0,
D0111,B5052,2,31,-62,F5902
D0111,B6013,39,69,-68,F6251
D0111,B0316,70,84,-9,F6234
D0112,A099,0,0,0,
D0112,B7694,9,43,-93,F7505
D0112,B1884,47,70,-37,F7378
D0112,B2451,75,88,-8,F7386
D0113,A027,0,0,0,
D0113,B8609,7,34,-54,F2310
D0113,B1614,35,52,-16,F2252
D0113,B0983,57,82,-45,F2435
D0113,B5836,86,106,-24,F2475
D0114,A034,0,0,0,
D0114,B2671,10,42,-83,F3045
D0114,B6133,50,73,-34,F3082
D0114,B3628,74,85,-4,F3054
D0114,B8909,87,101,-10,F3116
D0114,B4552,165,179,-8,F4257
D0115,A059,0,0,0,
D0115,B6992,3,22,-23,F4732
D0115,B2390,24,53,-63,F4706
D0115,B7497,62,87,-44,F4310
D0115,B4245,134,148,-10,F3675
D0116,A091,0,0,0,
D0116,B6186,6,29,-34,F6884
D0116,B4170,32,59,-54,F3674
D0116,B4739,65,91,-47,F6879
D0116,B0937,196,207,-4,F6056
D0117,A110,0,0,0,
D0117,B8880,6,21,-11,F8275
D0117,B0309,26,41,-11,F8192
D0117,B7298,44,60,-13,F8261
D0117,B5993,67,82,-12,F8248
D0117,B6596,86,101,-10,F8256
D0117,B1509,103,121,-18,F8209
D0117,B7370,122,138,-14,F7842
D0117,B6330,142,157,-11,F7834
D0117,B0415,169,188,-22,F7795
D0117,B6165,338,355,-17,F6113
D0118,A074,0,0,0,
D0118,B2374,3,36,-86,F6242
D0118,B7464,55,81,-50,F0919
D0118,B6415,244,255,-4,F2918
D0119,A103,0,0,0,
D0119,B1519,10,32,-32,F7694
D0119,B8207,40,60,-25,F8447
D0119,B0438,67,79,-6,F7687
D0119,B5298,85,113,-58,F7734
D0119,B2840,122,136,-10,F5781
D0119,B4049,175,189,-9,F5435
D0120,A093,0,0,0,
D0120,B0092,8,33,-42,F6940
D0120,B5911,39,68,-65,F7247
D0120,B3305,74,95,-29,F7227
D0120,B3293,235,246,-3,F2757
D0120,B8856,261,269,-1,F2867
D0121,A016,0,0,0,
D0121,B6157,18,49,-76,F5028
